id,parent_id/id,sequence,name,sign,type,display_detail,account_report_id/id,account_type_ids/id
financial_report_pal_root,,1,中国利润表,1,sum,,,
financial_report_pal_1,financial_report_pal_root,2,营业收入,-1,account_type,no_detail,,l10n_cn.user_type_pl1
financial_report_pal_2,financial_report_pal_root,3,营业成本,1,account_type,no_detail,,l10n_cn.user_type_pl3
financial_report_pal_3,financial_report_pal_root,4,营业税金及附加,1,account_type,no_detail,,l10n_cn.user_type_pl5
financial_report_pal_11,financial_report_pal_root,12,销售费用,1,account_type,no_detail,,l10n_cn.user_type_pl11
financial_report_pal_14,financial_report_pal_root,15,管理费用,1,account_type,no_detail,,l10n_cn.user_type_pl13
financial_report_pal_18,financial_report_pal_root,18,财务费用,1,account_type,no_detail,,l10n_cn.user_type_pl15
financial_report_pal_17,financial_report_pal_root,19,资产减值损失,1,account_type,no_detail,,
financial_report_pal_19,financial_report_pal_root,20,公允价值变动收益,-1,account_type,no_detail,,
financial_report_pal_20,financial_report_pal_root,21,投资收益,-1,account_type,no_detail,,l10n_cn.user_type_pl19
financial_report_pal_201,financial_report_pal_20,21,对联营企业和合营企业的投资收益,-1,account_type,no_detail,,
financial_report_pal_21,financial_report_pal_root,22,营业利润(亏损以“-”号填列),1,,,,
financial_report_pal_22,financial_report_pal_root,23,营业外收入,-1,account_type,no_detail,,l10n_cn.user_type_pl23
financial_report_pal_24,financial_report_pal_root,25,营业外支出,1,account_type,no_detail,,l10n_cn.user_type_pl25
financial_report_pal_291,financial_report_pal_24,30,非流动资产处置损失,1,accounts,no_detail,,
financial_report_pal_30,financial_report_pal_root,31,利润总额(亏损总额以“-”号填列),1,,,,l10n_cn.user_type_pl29
financial_report_pal_31,financial_report_pal_root,32,所得税费用,1,account_type,no_detail,,
financial_report_pal_32,financial_report_pal_root,33,净利润(净亏损以“-”号填列),1,,,,



financial_report_aab_root,,1,中国资产负债表,1,sum,,,
financial_report_aab_1,financial_report_aab_root,2,资产总计:,1,sum,,,
financial_report_aab_2,financial_report_aab_1,3,流动资产总计:,1,sum,,,
financial_report_aab_3,financial_report_aab_2,4,货币资金,1,account_type,no_detail,,l10n_cn.user_type_bs1
financial_report_aab_4,financial_report_aab_2,5,交易性金融资产,1,account_type,no_detail,,"l10n_cn.user_type_bs2"
financial_report_aab_5,financial_report_aab_2,6,应收票据,1,account_type,no_detail,,l10n_cn.user_type_bs3
financial_report_aab_6,financial_report_aab_2,7,应收账款,1,account_type,no_detail,,l10n_cn.user_type_bs6
financial_report_aab_7,financial_report_aab_2,8,预付账款,1,account_type,no_detail,,l10n_cn.user_type_bs8
financial_report_aab_8,financial_report_aab_2,9,应收股利,1,account_type,no_detail,,l10n_cn.user_type_bs4
financial_report_aab_9,financial_report_aab_2,10,应收利息,1,account_type,no_detail,,l10n_cn.user_type_bs5
financial_report_aab_10,financial_report_aab_2,11,其他应收款,1,account_type,no_detail,,l10n_cn.user_type_bs7
financial_report_aab_11,financial_report_aab_2,12,存货,1,account_type,no_detail,,l10n_cn.user_type_bs10
financial_report_aab_12,financial_report_aab_2,12,一年到期的非流动资产,1,account_type,no_detail,,
financial_report_aab_16,financial_report_aab_2,17,其他流动资产,1,accounts,no_detail,,
financial_report_aab_17,financial_report_aab_1,18,非流动资产:,1,sum,,,
financial_report_aab_18,financial_report_aab_17,19,可供出售金融资产,1,account_type,no_detail,,
financial_report_aab_118,financial_report_aab_17,19,持有至到期投资,1,account_type,no_detail,,
financial_report_aab_218,financial_report_aab_17,19,长期应收款,1,account_type,no_detail,,
financial_report_aab_19,financial_report_aab_17,20,长期股权投资,1,account_type,no_detail,,l10n_cn.user_type_bs32
financial_report_aab_20,financial_report_aab_17,21,投资性房地产,1,account_type,no_detail,,
financial_report_aab_22,financial_report_aab_17,23,固定资产,1,,,,"l10n_cn.user_type_bs40,l10n_cn.user_type_bs39"
financial_report_aab_23,financial_report_aab_17,24,在建工程,1,account_type,no_detail,,l10n_cn.user_type_bs45
financial_report_aab_24,financial_report_aab_17,25,工程物资,1,account_type,no_detail,,l10n_cn.user_type_bs44
financial_report_aab_25,financial_report_aab_17,26,固定资产清理,1,account_type,no_detail,,l10n_cn.user_type_bs46
financial_report_aab_26,financial_report_aab_17,27,生产性生物资产,1,account_type,no_detail,,l10n_cn.user_type_bs47
financial_report_aab_27,financial_report_aab_17,28,无形资产,1,account_type,no_detail,,l10n_cn.user_type_bs51
financial_report_aab_28,financial_report_aab_17,29,开发支出,1,account_type,no_detail,,l10n_cn.user_type_cost3
financial_report_aab_128,financial_report_aab_17,29,商誉,1,account_type,no_detail,,
financial_report_aab_29,financial_report_aab_17,30,长期待摊费用,1,account_type,no_detail,,l10n_cn.user_type_bs52
financial_report_aab_129,financial_report_aab_17,30,延递所得税资产,1,account_type,no_detail,,
financial_report_aab_229,financial_report_aab_17,30,待处理财产损益,1,account_type,no_detail,,l10n_cn.user_type_bs53
financial_report_aab_30,financial_report_aab_17,31,其他非流动资产,1,accounts,no_detail,,
financial_report_aab_57,financial_report_aab_root,31,负债和所有者权益总计:,-1,sum,,,
financial_report_aab_32,financial_report_aab_57,32,负债总计:,-1,sum,,,
financial_report_aab_33,financial_report_aab_32,33,流动负债总计:,-1,sum,,,
financial_report_aab_34,financial_report_aab_33,34,短期借款,-1,account_type,no_detail,,l10n_cn.user_type_bs68
financial_report_aab_134,financial_report_aab_33,34,交易性金融负债,-1,account_type,no_detail,,
financial_report_aab_35,financial_report_aab_33,35,应付票据,-1,account_type,no_detail,,l10n_cn.user_type_bs69
financial_report_aab_36,financial_report_aab_33,36,应付账款,-1,account_type,no_detail,,l10n_cn.user_type_bs70
financial_report_aab_37,financial_report_aab_33,37,预收账款,-1,account_type,no_detail,,l10n_cn.user_type_bs71
financial_report_aab_38,financial_report_aab_33,38,应付职工薪酬,-1,account_type,no_detail,,l10n_cn.user_type_bs72
financial_report_aab_39,financial_report_aab_33,39,应交税费,-1,account_type,no_detail,,l10n_cn.user_type_bs75
financial_report_aab_40,financial_report_aab_33,40,应付利息,-1,account_type,no_detail,,l10n_cn.user_type_bs174
financial_report_aab_41,financial_report_aab_33,41,应付股利,-1,account_type,no_detail,,l10n_cn.user_type_bs175
financial_report_aab_42,financial_report_aab_33,42,其他应付款,-1,account_type,no_detail,,l10n_cn.user_type_bs73
financial_report_aab_142,financial_report_aab_33,42,一年内到期的非流动负债,-1,account_type,no_detail,,
financial_report_aab_43,financial_report_aab_33,43,其他流动负债,-1,accounts,no_detail,,
financial_report_aab_45,financial_report_aab_32,44,非流动负债总计:,-1,sum,,,
financial_report_aab_46,financial_report_aab_45,45,长期借款,-1,account_type,no_detail,,l10n_cn.user_type_bs101
financial_report_aab_146,financial_report_aab_45,45,长期债券,-1,account_type,no_detail,,
financial_report_aab_47,financial_report_aab_45,46,长期应付款,-1,account_type,no_detail,,l10n_cn.user_type_bs103
financial_report_aab_147,financial_report_aab_45,46,专项应付款,-1,account_type,no_detail,,
financial_report_aab_247,financial_report_aab_45,46,预计负债,-1,account_type,no_detail,,
financial_report_aab_48,financial_report_aab_45,47,延递所得税负债,-1,account_type,no_detail,,
financial_report_aab_49,financial_report_aab_45,48,其他非流动负债,-1,accounts,no_detail,,l10n_cn.user_type_bs104
financial_report_aab_52,financial_report_aab_57,49,所有者权益(或股东权益)总计:,-1,sum,,,
financial_report_aab_53,financial_report_aab_52,50,实收资本(或股本),-1,account_type,no_detail,,l10n_cn.user_type_bs115
financial_report_aab_54,financial_report_aab_52,51,资本公积,-1,account_type,no_detail,,l10n_cn.user_type_bs118
financial_report_aab_55,financial_report_aab_52,52,盈余公积,-1,account_type,no_detail,,l10n_cn.user_type_bs119
financial_report_aab_60,,54,未分配利润-总计,-1,sum,,,
financial_report_aab_56,financial_report_aab_60,54,未分配利润-往年,-1,account_type,no_detail,,l10n_cn.user_type_bs121
financial_report_aab_61,financial_report_aab_60,55,未分配利润-今年,-1,account_report,,account.account_financial_report_profitandloss0,
financial_report_aab_62,financial_report_aab_52,53,未分配利润,-1,account_report,,financial_report_aab_60,
